,ExpDate,StrikePrice,Ticker,Type,Last,Chg,Bid,Ask,Vol,Open Int,Delta,Gamma,Rho,Theta,Vega,Implied volatility,currentDate,Underlaying asset price,Expiration Date
2209,24-Feb-17,123.0,AAPL,Call,12.55,-0.06,12.5,12.95,5.0,92.0,1.0,0.0,0.02339,-0.01881,0.0,0.3775,2/17/2017,135.720001,0.019164956
2210,24-Feb-17,126.0,AAPL,Call,9.45,-0.05,9.55,9.9,7.0,1023.0,1.0,0.0,0.02396,-0.01927,0.0,0.3136,2/17/2017,135.720001,0.019164956
2211,24-Feb-17,127.0,AAPL,Call,8.5,-0.02,8.6,8.8,30.0,378.0,1.0,0.0,0.02415,-0.019430000000000003,0.0,0.2511,2/17/2017,135.720001,0.019164956
2212,24-Feb-17,128.0,AAPL,Call,7.55,0.15,7.55,7.85,59.0,533.0,1.0,0.0,0.02434,-0.01958,0.0,0.22892,2/17/2017,135.720001,0.019164956
2213,24-Feb-17,130.0,AAPL,Call,5.68,0.28,5.55,5.95,379.0,1958.0,1.0,0.0,0.02473,-0.01989,0.0,0.20144,2/17/2017,135.720001,0.019164956
2214,24-Feb-17,131.0,AAPL,Call,4.52,0.02,4.6,4.9,740.0,1377.0,1.0,0.0,0.02492,-0.02004,0.0,0.20917,2/17/2017,135.720001,0.019164956
2215,24-Feb-17,132.0,AAPL,Call,3.76,0.17,3.65,3.95,947.0,2755.0,0.99574,0.00777,0.025,-0.02155,0.00426,0.14554,2/17/2017,135.720001,0.019164956
2216,24-Feb-17,133.0,AAPL,Call,2.93,0.1,2.87,3.0,5957.0,7828.0,0.87889,0.08403,0.02216,-0.05734,0.04543,0.16102,2/17/2017,135.720001,0.019164956
2217,24-Feb-17,134.0,AAPL,Call,2.1,0.03,2.09,2.15,2467.0,4805.0,0.7775,0.13078,0.01972,-0.07708,0.04655,0.17764000000000002,2/17/2017,135.720001,0.019164956
2218,24-Feb-17,135.0,AAPL,Call,1.44,-0.01,1.41,1.45,8228.0,10177.0,0.6048899999999999,0.13297,0.01535,-0.10651,0.07191,0.14737999999999998,2/17/2017,135.720001,0.019164956
2219,24-Feb-17,136.0,AAPL,Call,0.87,-0.11,0.87,0.89,11309.0,11575.0,0.4669100000000001,0.17426,0.01195,-0.08775,0.07334,0.13276,2/17/2017,135.720001,0.019164956
2220,24-Feb-17,137.0,AAPL,Call,0.51,-0.13,0.51,0.54,8699.0,5328.0,0.30356,0.15292,0.0078,-0.07628,0.07515,0.13192,2/17/2017,135.720001,0.019164956
2221,24-Feb-17,138.0,AAPL,Call,0.3,-0.1,0.28,0.3,7761.0,5299.0,0.23369,0.10587,0.00599,-0.08137,0.05047,0.147,2/17/2017,135.720001,0.019164956
2222,24-Feb-17,139.0,AAPL,Call,0.17,-0.09,0.17,0.18,1660.0,2473.0,0.11465999999999997,0.07351,0.00295,-0.04595,0.05181,0.13591,2/17/2017,135.720001,0.019164956
2223,24-Feb-17,140.0,AAPL,Call,0.1,-0.06,0.09,0.11,3128.0,8784.0,0.11396,0.05639,0.00292,-0.05857,0.0514,0.17118,2/17/2017,135.720001,0.019164956
2224,24-Feb-17,141.0,AAPL,Call,0.06,-0.05,0.06,0.07,2532.0,2561.0,0.05519,0.03438,0.0014199999999999998,-0.029560000000000006,0.02255,0.17269,2/17/2017,135.720001,0.019164956
2225,24-Feb-17,142.0,AAPL,Call,0.04,-0.03,0.04,0.05,297.0,1859.0,0.02768,0.01915,0.0007099999999999999,-0.01762,0.02277,0.17922000000000002,2/17/2017,135.720001,0.019164956
2226,24-Feb-17,143.0,AAPL,Call,0.03,-0.02,0.03,0.04,401.0,1408.0,0.01984,0.0,0.0005099999999999999,-0.01467,0.0114,0.19488,2/17/2017,135.720001,0.019164956
2227,24-Feb-17,144.0,AAPL,Call,0.02,-0.02,0.02,0.03,1043.0,1094.0,0.01745,0.0,0.00045,-0.0141,0.00571,0.21246,2/17/2017,135.720001,0.019164956
2228,24-Feb-17,145.0,AAPL,Call,0.02,-0.01,0.01,0.03,100.0,981.0,0.02057,0.0,0.00053,-0.01939,0.014769999999999997,0.24997,2/17/2017,135.720001,0.019164956
2229,24-Feb-17,145.0,AAPL,Call,0.02,-0.01,0.01,0.03,100.0,981.0,0.02057,0.0,0.00053,-0.01939,0.014769999999999997,0.24997,2/17/2017,135.720001,0.249144422
2230,24-Feb-17,145.0,AAPL,Call,0.02,-0.01,0.01,0.03,100.0,981.0,0.02057,0.0,0.00053,-0.01939,0.014769999999999997,0.24997,2/17/2017,135.720001,0.325804244
2231,24-Feb-17,145.0,AAPL,Call,0.02,-0.01,0.01,0.03,100.0,981.0,0.02057,0.0,0.00053,-0.01939,0.014769999999999997,0.24997,2/17/2017,135.720001,0.421629021
2232,19-May-17,145.0,AAPL,Put,11.55,-0.3,11.25,11.45,84.0,1334.0,-0.6825899999999999,0.02516,-0.15984,-0.0276,0.26065,0.24997,2/17/2017,135.720001,0.019164956
2233,19-May-17,145.0,AAPL,Put,11.55,-0.3,11.25,11.45,84.0,1334.0,-0.6825899999999999,0.02516,-0.15984,-0.0276,0.26065,0.24997,2/17/2017,135.720001,0.249144422
