,Date,DSP Company,Domain/Bundle,Country,Traffic Type,Width,Height,DSP Spend,Impressions
0,02/02/2020,Cheetah,1369521645,USA,banner,300.0,250.0,68.93715062621,86032
1,02/04/2020,Chocolate,com.baiwang.instasquare,USA,video,320.0,480.0,45.208104260731,7757
2,02/08/2020,Cheetah,922488002,USA,banner,320.0,480.0,40.241082039778,33170
3,02/05/2020,Chocolate,com.baiwang.instasquare,USA,video,320.0,480.0,31.388657803182,5484
4,02/02/2020,Cheetah,1369521645,USA,banner,320.0,50.0,30.033386784984003,21898
5,02/07/2020,Cheetah,com.xprodev.cutcam,USA,banner,320.0,480.0,28.735516414396,28287
6,02/02/2020,Cheetah,1369521645,USA,banner,300.0,250.0,28.148362050560998,34321
7,02/03/2020,Cheetah,1207472156,USA,banner,320.0,50.0,27.967456507031002,34241
8,02/04/2020,Cheetah,1207472156,USA,banner,320.0,50.0,24.854619295524998,30605
9,02/06/2020,Cheetah,com.imangi.templerun2,USA,banner,320.0,480.0,20.680583882844,22635
10,02/02/2020,Cheetah,1369521645,USA,banner,300.0,250.0,17.930932521253,19168
11,02/05/2020,Cheetah,1207472156,USA,banner,320.0,50.0,16.537853304252998,18274
12,02/02/2020,Cheetah,1207472156,USA,banner,320.0,50.0,16.149129033089,19357
13,02/05/2020,Cheetah,479280326,USA,banner,300.0,250.0,15.473696231958,27714
14,02/04/2020,mobiexchanger,1207472156,USA,banner,320.0,50.0,15.055884616275,23261
15,02/04/2020,Cheetah,com.bitofgame.trialanderrorhalloween,USA,banner,320.0,480.0,14.856072147959,6788
16,02/02/2020,Cheetah,1369521645,USA,banner,320.0,50.0,14.416695156352999,12136
17,02/02/2020,Cheetah,1443190579,USA,banner,320.0,480.0,14.349115568912001,14992
18,02/03/2020,Cheetah,1207472156,USA,banner,320.0,50.0,14.184826338285001,17429
19,02/03/2020,mobiexchanger,1207472156,USA,banner,320.0,50.0,12.663232435734,19509
20,02/02/2020,Cheetah,1369521645,USA,banner,320.0,50.0,12.530697587412,9275
21,02/03/2020,Cheetah,1369521645,USA,banner,300.0,250.0,12.294708788248998,18897
22,02/07/2020,Cheetah,com.nfl.fantasy.core.android,USA,banner,320.0,480.0,11.929451325093,11224
23,02/05/2020,Decenterads,net.noonplayer,IND,native,0.0,0.0,11.657070473739,20539
24,02/03/2020,Cheetah,1207472156,USA,banner,300.0,250.0,11.481290812866002,15450
25,02/06/2020,Cheetah,1207472156,USA,banner,320.0,50.0,11.363024875725,13400
26,02/06/2020,Cheetah,1369521645,USA,banner,300.0,250.0,10.570406265324,13025
27,02/04/2020,Cheetah,1207472156,USA,banner,320.0,50.0,10.454596713185001,12647
28,02/06/2020,Cheetah,1207472156,USA,banner,320.0,50.0,10.19710161371,11615
29,02/02/2020,Cheetah,1207472156,USA,banner,300.0,250.0,9.6995379213186,12745
30,02/07/2020,Cheetah,1369521645,USA,banner,300.0,250.0,9.389200188336,12702
31,02/04/2020,Cheetah,1207472156,USA,banner,300.0,250.0,9.2279909896315,12654
32,02/04/2020,Cheetah,com.omgpop.dstfree,USA,banner,320.0,480.0,9.2248225469957,9588
33,02/05/2020,Cheetah,1207472156,USA,banner,320.0,50.0,9.1097165348183,9828
34,02/02/2020,Cheetah,1186298215,USA,banner,300.0,250.0,8.7699467080238,16861
35,02/04/2020,Cheetah,331786748,USA,banner,300.0,250.0,8.573277059535,12280
36,02/05/2020,Cheetah,479280326,USA,banner,320.0,50.0,8.5374302768323,15773
37,02/05/2020,Cheetah,1207472156,USA,banner,300.0,250.0,8.3642664203217,10241
38,02/06/2020,Cheetah,1369521645,USA,banner,320.0,50.0,8.3353300851741,10869
39,02/03/2020,Cheetah,air.com.tectum.sudoku,USA,banner,320.0,480.0,8.2143155028461,6564
40,02/03/2020,Chocolate,com.easybrain.sudoku.android,USA,video,768.0,1024.0,8.1997384808492,1699
41,02/04/2020,Cheetah,1207472156,USA,banner,320.0,50.0,8.109035319663201,9911
42,02/02/2020,Cheetah,1207472156,USA,banner,320.0,50.0,8.080615671846301,9633
43,02/03/2020,Cheetah,1207472156,USA,banner,300.0,250.0,8.0549787871132,10868
44,02/02/2020,Chocolate,com.iposedon.bricksbreakerballs,USA,video,320.0,480.0,7.8306682358962,2019
45,02/02/2020,Cheetah,1369521645,USA,banner,300.0,250.0,7.7319714253535,9210
46,02/03/2020,Cheetah,1207472156,USA,banner,320.0,50.0,7.596557747136099,9293
47,02/05/2020,Cheetah,479280326,USA,banner,300.0,250.0,7.5428695789888,14466
