,Unnamed:_0,ExpDate,StrikePrice,Ticker,Type,Last,Chg,Bid,Ask,Vol,Open_Int,Delta,Gamma,Rho,Theta,Vega,Implied_volatility,currentDate,Underlaying_asset_price,Expiration_Date,compute_iv
0,1,21-Apr-17,22.0,ARR,Call,0.3,-0.2,0.1,0.4,40.0,659.0,0.45441,0.5543100000000001,0.016919999999999998,-0.004079999999999999,0.0373,0.10719,2/17/2017,21.709999,0.1724846,0.10571001858181006
1,9,16-Jun-17,12.5,RESI,Call,1.2,0.2,1.1,1.4,2.0,3801.0,0.73514,0.18291,0.02763,-0.00418,0.02675,0.21658,2/17/2017,13.31,0.325804244,0.2146752398784543
2,45,15-Sep-17,12.5,CAFD,Call,1.6,0.07,1.4,1.75,1.0,112.0,0.7508699999999999,0.15047,0.04883,-0.00316,0.03436,0.24548000000000006,2/17/2017,13.4,0.574948665,0.24245272804499687
3,46,15-Sep-17,12.5,CAFD,Call,1.6,0.07,1.4,1.75,1.0,112.0,0.7508699999999999,0.15047,0.04883,-0.00316,0.03436,0.24548000000000006,2/17/2017,13.4,0.574948665,0.24245272804499687
4,47,15-Sep-17,12.5,CAFD,Call,1.6,0.07,1.4,1.75,1.0,112.0,0.72724,0.13717,0.046360000000000005,-0.00346,0.035039999999999995,0.24548000000000006,2/17/2017,13.4,0.574948665,0.24245272804499687
5,48,15-Sep-17,12.5,CAFD,Call,1.6,0.07,1.4,1.75,1.0,112.0,0.72724,0.13717,0.046360000000000005,-0.00346,0.035039999999999995,0.24548000000000006,2/17/2017,13.4,0.574948665,0.24245272804499687
6,113,16-Jun-17,12.5,CAFD,Call,1.33,0.18,1.15,1.5,10.0,3169.0,0.75046,0.17645999999999998,0.0283,-0.00417,0.02671,0.24458,2/17/2017,13.4,0.325804244,0.24034693886248912
7,114,16-Jun-17,12.5,CAFD,Call,1.33,0.18,1.15,1.5,10.0,3169.0,0.75046,0.17645999999999998,0.0283,-0.00417,0.02671,0.24458,2/17/2017,13.4,0.325804244,0.24034693886248912
8,142,24-Feb-17,40.0,ACAD,Call,1.0,-0.05,0.85,1.55,83.0,60.0,0.48013,0.12011,0.0034100000000000003,-0.11786,0.02144,0.6057899999999999,2/17/2017,39.279999,0.019164956,0.6029929311546934
9,150,19-May-17,25.0,AXDX,Call,3.32,-0.99,3.0,4.0,22.0,127.0,0.6089399999999999,0.04822,0.02959,-0.02255,0.04801,0.8639700000000001,2/17/2017,23.15,0.249144422,0.8652087818784056
10,160,16-Jun-17,4.0,ACHN,Put,0.43,0.03,0.4,0.5,50.0,243.0,-0.34033,0.22459,-0.0055,-0.00275,0.00889,0.61603,2/17/2017,4.27,0.325804244,0.612906748660341
11,162,17-Mar-17,23.0,ACOR,Call,5.23,-0.17,4.7,6.4,10.0,51.0,0.74853,0.033510000000000005,0.01088,-0.06592,0.0,1.48651,2/17/2017,25.299999,0.076659822,1.4912196712586718
12,174,24-Feb-17,45.5,ATVI,Call,0.33,-0.12,0.33,0.36,314.0,530.0,0.44401,0.45587,0.003820000000000001,-0.03182,0.02465,0.16326,2/17/2017,45.330002,0.019164956,0.1586446005432496
13,176,24-Feb-17,46.5,ATVI,Call,0.09,-0.07,0.08,0.1,103.0,569.0,0.11926,0.21029,0.00103,-0.016640000000000002,0.01732,0.17819000000000002,2/17/2017,45.330002,0.019164956,0.17647905739985661
14,178,24-Feb-17,47.5,ATVI,Call,0.03,-0.01,0.02,0.04,43.0,78.0,0.05546,0.08482999999999999,0.00048,-0.01193,0.0075099999999999984,0.20976,2/17/2017,45.330002,0.019164956,0.2069248729968387
15,182,24-Feb-17,45.0,ATVI,Put,0.29,-0.17,0.28,0.3,96.0,1146.0,-0.3708,0.35528000000000004,-0.00287,-0.03121,0.02404,0.1754,2/17/2017,45.330002,0.019164956,0.17865749390339716
16,191,3-Mar-17,47.0,ATVI,Call,0.15,-0.11,0.14,0.17,125.0,1072.0,0.13688,0.15499000000000002,0.00236,-0.01363,0.02497,0.18599,2/17/2017,45.330002,0.038329911,0.18582829607520288
17,192,10-Mar-17,45.0,ATVI,Call,0.97,-0.27,1.01,1.05,21.0,61.0,0.58867,0.18503,0.01475,-0.02732,0.04165,0.17096,2/17/2017,45.330002,0.05749486700000001,0.17344098830251425
18,193,10-Mar-17,45.5,ATVI,Call,0.73,-0.09,0.74,0.78,20.0,305.0,0.4955,0.25026,0.01262,-0.02178,0.04253,0.17640999999999998,2/17/2017,45.330002,0.05749486700000001,0.17854501138999598
19,194,10-Mar-17,47.0,ATVI,Call,0.25,-0.06,0.26,0.29,6.0,55.0,0.19978,0.16105999999999998,0.00514,-0.01454,0.03055,0.1859,2/17/2017,45.330002,0.05749486700000001,0.1831114752883126
20,202,17-Mar-17,47.0,ATVI,Call,0.39,-0.03,0.38,0.41,112.0,880.0,0.26815,0.14779,0.00909,-0.01809,0.03464,0.18872,2/17/2017,45.330002,0.076659822,0.19228375286181545
21,207,24-Mar-17,45.0,ATVI,Call,1.25,-0.07,1.3,1.34,21.0,27.0,0.60306,0.18311,0.02519,-0.01798,0.05326,0.17957,2/17/2017,45.330002,0.095824778,0.18024032812197338
22,209,24-Mar-17,48.0,ATVI,Call,0.27,-0.19,0.26,0.3,10.0,18.0,0.1877,0.10403,0.00797,-0.01252,0.04029,0.18703,2/17/2017,45.330002,0.095824778,0.19183763305261942
23,244,19-May-17,41.0,ATVI,Put,0.92,0.05,0.87,0.9,39.0,3574.0,-0.20442,0.04507,-0.02123,-0.0113,0.05873,0.307,2/17/2017,45.330002,0.249144422,0.30511370426701345
24,254,18-Aug-17,45.0,ATVI,Call,3.52,0.02,3.5,3.65,111.0,544.0,0.6128600000000001,0.0622,0.1229,-0.01193,0.11949,0.23582,2/17/2017,45.330002,0.498288843,0.2374955481532481
25,259,18-Aug-17,44.0,ATVI,Put,2.9,-0.01,2.81,2.9,6.0,12.0,-0.37672,0.04162,-0.07701000000000001,-0.00966,0.11857,0.3048,2/17/2017,45.330002,0.498288843,0.30574589475428793
26,260,18-Aug-17,45.0,ATVI,Put,3.4,0.1,3.25,3.4,12.0,154.0,-0.41934,0.04443,-0.07997,-0.01005,0.12135,0.30839,2/17/2017,45.330002,0.498288843,0.3078208388549887
27,262,18-Aug-17,47.0,ATVI,Put,4.33,-0.02,4.35,4.45,3.0,164.0,-0.50464,0.04696,-0.0919,-0.00868,0.12623,0.29661,2/17/2017,45.330002,0.498288843,0.2969334720464714
28,280,17-Mar-17,110.0,ADBE,Put,0.5,-0.07,0.44,0.5,97.0,1840.0,-0.1069,0.02118,-0.00902,-0.03136,0.07754,0.2666,2/17/2017,119.669998,0.076659822,0.2663443442133936
29,281,17-Mar-17,115.0,ADBE,Put,1.29,-0.27,1.24,1.32,260.0,554.0,-0.27133,0.03734,-0.02187,-0.05902,0.12285,0.24542,2/17/2017,119.669998,0.076659822,0.2444630089251351
30,286,21-Apr-17,120.0,ADBE,Call,3.75,0.34,3.75,3.95,425.0,2288.0,0.55576,0.05768,0.11011,-0.03701,0.19173,0.18394,2/17/2017,119.669998,0.1724846,0.18200393450684785
31,294,21-Jul-17,115.0,ADBE,Call,9.31,0.06,9.7,9.9,7.0,1749.0,0.72514,0.02565,0.32779,-0.02822,0.26988,0.18994,2/17/2017,119.669998,0.421629021,0.19023405754977257
32,303,19-Jan-18,125.0,ADBE,Call,9.03,0.43,9.05,9.3,14.0,390.0,0.53986,0.019,0.52036,-0.02302,0.45736,0.21886,2/17/2017,119.669998,0.919917864,0.21625746926679257
33,323,24-Feb-17,12.5,AMD,Put,0.08,-0.05,0.07,0.09,818.0,2021.0,-0.19076,0.39845,-0.00046,-0.01532,0.004520000000000001,0.41802,2/17/2017,13.13,0.019164956,0.41784258257394785
