,ExpDate,StrikePrice,Ticker,Type,Last,Chg,Bid,Ask,Vol,Open Int,Delta,Gamma,Rho,Theta,Vega,Implied volatility,currentDate,Underlaying asset price,Expiration Date
0,17-Mar-17,22.5,ARR,Put,0.95,-0.35,0.65,1.25,1.0,9.0,-0.69794,0.28368000000000004,-0.008320000000000001,-0.008320000000000001,0.023719999999999998,0.2759,2/17/2017,21.709999,0.076659822
1,21-Apr-17,22.0,ARR,Call,0.3,-0.2,0.1,0.4,40.0,659.0,0.45441000000000004,0.5543100000000001,0.016919999999999998,-0.004079999999999999,0.0373,0.10719000000000001,2/17/2017,21.709999,0.1724846
2,21-Apr-17,20.0,ARR,Put,0.15,-0.05,0.05,0.2,3.0,251.0,-0.12236,0.11984000000000002,-0.0043,-0.00275,0.01999,0.25595,2/17/2017,21.709999,0.1724846
3,21-Apr-17,22.0,ARR,Put,0.83,-0.02,0.65,1.0,1.0,166.0,-0.52709,0.26444,-0.015019999999999999,-0.00457,0.03551,0.21858000000000002,2/17/2017,21.709999,0.1724846
4,21-Apr-17,23.0,ARR,Put,1.55,0.05,1.4,1.85,2.0,145.0,-0.68386,0.17777,-0.0176,-0.0059,0.03575,0.33344,2/17/2017,21.709999,0.1724846
5,21-Jul-17,22.5,ARR,Call,0.4,-0.07,0.3,0.45,41.0,452.0,0.40237,0.33452,0.03658,-0.00313,0.06382,0.09176000000000001,2/17/2017,21.709999,0.421629021
6,21-Jul-17,20.0,ARR,Put,0.55,-0.2,0.45,0.7,4.0,95.0,-0.23545,0.09862,-0.0192,-0.00313,0.04823,0.28826999999999997,2/17/2017,21.709999,0.421629021
7,21-Jul-17,22.5,ARR,Put,1.6,-0.45,1.6,2.1,6.0,96.0,-0.51918,0.11344000000000001,-0.03779,-0.004229999999999999,0.055729999999999995,0.30185,2/17/2017,21.709999,0.421629021
8,17-Mar-17,12.5,RESI,Call,1.0,-0.1,0.8,1.1,20.0,3376.0,0.83341,0.27623000000000003,0.007790000000000001,-0.00625,0.008790000000000001,0.28936,2/17/2017,13.31,0.076659822
9,16-Jun-17,12.5,RESI,Call,1.2,0.2,1.1,1.4,2.0,3801.0,0.73514,0.18291,0.027630000000000002,-0.00418,0.02675,0.21658000000000002,2/17/2017,13.31,0.32580424399999997
10,17-Mar-17,10.0,TEF,Call,0.2,0.05,0.1,0.2,22.0,453.0,0.42641,0.86771,0.00313,-0.0042899999999999995,0.01089,0.17173,2/17/2017,9.87,0.076659822
